Candidate,Party
Morten Kolbe Thomsen,I
Alex Vanopslagh,I
Nicolai Wang,I
Ditte Wedege,I
Rolf Bjerre,K
Henrik Hjortshøj,K
Birgit Jakobsen,K
Kristian Søndergaard Larsen,K
Hanna-Maria Lyng,K
Nils-Erik Mulvad,K
Palle Rosenkilde,K
Henning Østergaard,K
Henrik Rejnholt Andersen,M
Tobias Grotkjær Elmstrøm,M
Peter Have,M
Karin Liltorp,M
Kim Christiansen,O
Laura Guldager,O
Daniel Aage Holm,O
Michael Nedersøe,O
Danny Rosenkilde,O
Anders Vistisen,O
Nick Zimmermann,O
Niko Grünfeld,Q
Mohamed Abdikarim,Q
Karina Dammand,Q
Sara Hvidbak Grouleff,Q
Ali Khatib,Q
Stephan Arnold,V
Heidi Bank,V
Jakob Ellemann-Jensen,V
Michael Aastrup Jensen,V
Gustav Juul,V
Jens Kloppenborg-Skrumsager,V
Louise Louring,V
Troels Lund Poulsen,V
Lene Prip-Sørensen,V
Erik Veje Rasmussen,V
Tina Lund Sørensen,V
Linda Englyst,Æ
Lone Glarbo,Æ
Ulrik Knudsen,Æ
Erik Poulsen,Æ
Hans Kristian Skibby,Æ
Mai Villadsen,Ø
Anne Hegelund,Ø
Lisbeth Torfing,Ø
Kristjar Skajaa,Ø
Jesper Yde Knudsen,Ø
Anders Pedersen,Ø
Karen Budtz-Jørgensen,Ø
Magnus Fage Gislason,Ø
Lucasia Gregersen,Ø
Rasmus Bøgh Vinther,Ø
Mira Issa Bloch,Å
Carsten Borup,Å
Torsten Gejl,Å
Nikoline Erbs Hillers-Bendtsen,Å
Thor Clasen Jonasen,Å
Vinni Kjærgaard Jørgensen,Å
Mads Damgaard Mortensen,Å
Thomas Due Nielsen,Å
Berit Naomi Skjernaa,Å
Sarah Roued Thomsen,Å
Helle Wium,Å
Line Aaen,Å
Jesper Antonsen,UDEN
Chresten H. Ibsen,UDEN
